app_id,app_name,description,categories,developer,price,primary_category,version,rating,installs,url,developer_url
1031486293,Funny Supermarket game,"Let's go to the funny supermarket with a lovely Hippo family! Easy and pleasant gameplay with educational elements. A great variety of items, which names are called. Permanent communication between character and player. Entertainment and education in one amazing app!

Please read our Privacy policy: https://policy.psvgamestudio.com/privacy_policy_appstore_clear_invest.html
and Terms of use: https://policy.psvgamestudio.com/terms_of_use_appstore_clear_invest.html","['Games', 'Family', 'Adventure', 'Entertainment']",CLEAR INVEST LTD,Free,Games,3.9,4.26464,,https://apps.apple.com/us/app/funny-supermarket-game/id1031486293?uo=4,
1058803540,Railroad Crossing Game,"In the game Railroad crossing you will regulate automobile traffic.

At first sight it is not a difficult task but requires attention and the ability to assess the situation. These games will be of interest not only for boys but also for girls. Game ""Railroad crossnig"", will teach you the skills regulator. Crossroads has 2 crossing gates that you need to adjust the car traffic. On the approximation and the direction of the train will signal yellow arrows. Your task is to calculate the time needed for that would all transport safely crossed the railway crossing, for a time to open or close the gate for you to decide. All in your hands!
In each level you must pass through the crossing 10 cars. Some levels are limited in time.
Good luck and be careful!

Beautiful 3D graphics
3D sound design
A variety of landscapes
As you progress through the level of complexity increases

Variety of transport (cars, buses, freight and passenger express trains), lots of colorful locations (from village to megapolis) will not make bored you or your child.

If you like the game Railroad crossing, please rate it.

Please read our Privacy policy: 
https://policy.psvgamestudio.com/privacy_policy_appstore_lyudmila.html
and Terms of use: https://policy.psvgamestudio.com/terms_of_use_appstore_lyudmila.html","['Games', 'Entertainment', 'Simulation', 'Puzzle']",Liudmyla Petryshyn,Free,Games,2.4,4.11475,,https://apps.apple.com/us/app/railroad-crossing-game/id1058803540?uo=4,
1080187984,myTV SUPER,"myTV SUPER is broadened by TVB that offers you a vast volume and extensive choices of thematic channels and contents, including myTV SUPER original, TVB self-produced shows, express dramas and variety shows, movies, classic movies, the latest Japanese anime, cartoons, sports, horse-racing, news and business. Download now!

「東張+」zone:

Providing social news and latest top stories, exclusive coverage of entertainment highlights, interviews with artiste, TVB dramas, lifestyle trends, healthcare, easy recipes, travel, and more…

Enable push notifications to receive news updates throughout the day.

You may use「報東張」reporting form and share any interesting stories or issues about your community, video and image uploads ar

Upgrade to myTV Gold to enjoy the followings:

• [Concurrent viewing on 3 devices]^
With one myTV SUPER account, you can watch desired programs concurrently via mobile, tablet and computer.

• [Download]
Enjoy the download function applicable on designated contents to enable offline viewing.

• [Timeshift]
Designated channels provide playback of contents broadcasted within three hours.

• [VOD]
VOD service provides a vast volumes and extensive choices of premiere and classic programs.

• [Linear Channel]
Live broadcasts of a bunch of channels.

• [Keyword Search] 
Keyword search function allows users to access desired titles in few steps. 

This application is designed and brought to you by MyTV Super Limited.

* Above details only applicable to myTV SUPER users. Subject to terms of service, please visit myTV SUPER official website for details. 
** Channels and program schedules are subject to change, please visit myTV SUPER for details. 
^ According to subscription plan.
Terms and conditions for auto-renewing of Pay Service subscriptions: 
1. Pay Service fee is a one-off and non-refundable payment. 
2. This service will be automatically renewed after the viewing period. Please visit Apple's View, change, or cancel your subscriptions policy https://support.apple.com/en-hk/HT202039 for service cancellation. (Note: Per Apple's cancel policy, this service will be automatically renewed if the customer fails to turn off Automatic Renewal more than 24 hours before the renewal date.) 
3. myTV SUPER is only applicable to compatible devices and designated mobile operating systems. Please visit https://www.mytvsuper.com/en/basic_requirement for details. 
4. myTV SUPER service is provided by MyTV Super Limited (“Company”) subject to the ""myTV SUPER Terms of Service"" (https://promo.mytvsuper.com/en/tos) which Company reserves the right to modify any part from time to time. These Terms and Conditions shall prevail over the ""myTV SUPER Terms of Service"" if there is any inconsistency between them. 
5. myTV SUPER and its content available in the service are only available for use in Hong Kong or Macau, as the subscription plan may be. 
6. Company reserves the right to change, replace or withdraw any program(s), channel(s), pack(s), and/or content(s) (whether advertised or not) at any time with or without notice. Company accepts no liability for any such change, replacement or withdrawal. 
7. Company reserves the right to suspend, vary or terminate (all or any part of) the above offer or amend the relevant terms and conditions at any time without prior notice. In case of any dispute, Company reserves the right of final determination.","['Entertainment', 'News']",TVB.COM Limited,Free,Entertainment,7.0.1,1.86667,,https://apps.apple.com/us/app/mytv-super/id1080187984?uo=4,
1084662006,香港01 - 新聞資訊及生活服務,"【 全方位新聞資訊 】

《香港01》每日 24 小時提供即時香港新聞、國際新聞、頭條新聞、觀點評論、天氣報告，以及獨家偵查報道，全方位了解社會大小事，揭示社會現象。

經濟頻道每日捕捉香港股市以至環球財經新聞，多位專家分析市場走勢，讓您搶盡先機，包括地產樓市資訊及個人理財攻略。

娛樂新聞頻道，追蹤最新、最快娛樂消息，緊貼明星動態、專訪，以及港劇、韓劇、美劇、日劇等電視劇集和電影資訊。

體育新聞報道包括奧運、足球賽事、NBA 籃球比賽、國際馬拉松等消息，更有運動員訪問、行山路線、武術競技等內容。

教育頻道報道本港教育界包括中、小學最新動態、DSE升學就業出路、海外升學及職場進修。

【 多元化生活頻道 】

旅遊：為您搜羅機票酒店旅遊攻略、自助餐著數優惠、本地好去處、介紹香港絕美秘境。

飲食：影片簡易示範多種家常菜式、湯水、甜品，附加詳盡食譜，還有本地美食及餐廳推介。

親子：入學面試攻略，提供工作紙等教材下載，搜集假日親子活動資訊，同時照顧兒童心理發展。

健康：拆解健康謬誤，簡介常見病、都市病等資訊。

hashTECH 科技玩物：最新科技產品開箱實測，第一手報道最新電子產品發佈，手機、電腦等周邊產品介紹，App 程式實用教學，更會分享多個手遊或其他熱門遊戲攻略。

此外，亦涵蓋寵物、音樂、女生穿搭、職場、哲學、文化等豐富內容。

【 其他生活服務 】

《香港01》提供自訂個人化內容，主頁可按您挑選的閱讀喜好推薦內容，讓您一 App 輕鬆掌握各類型活動、天氣和交通等資訊：

會員專區：註冊成為01會員，尊享驚喜優惠及獨家活動。並可從多項活動中賺取「01積分」，換取種類豐富的禮物及以分消費。

01空間：致力為香港人提供方便、快捷、優惠的多元化活動資訊及購票服務，包括網上講座、工作坊、展覽等等，塑造屬於您的個人活動空間，綻放生活無限。

01心意：香港首個結合線上線下的慈善配對平台，齊齊用心意成就好事。

01網購：涵蓋多款商品，讓您體驗「01積分」當錢使的購物樂趣！
 
01TV：自家製作各類最新影片及直播，娛樂、資訊兼備。

用戶條款及細則： https://www.hk01.com/terms 
私隱政策聲明： https://www.hk01.com/privacy 

*本程式只支援 iOS 12 或以上版本","['News', 'Lifestyle']",HK01 Company Limited,Free,News,4.50.0,4.59686,,https://apps.apple.com/us/app/%E9%A6%99%E6%B8%AF01-%E6%96%B0%E8%81%9E%E8%B3%87%E8%A8%8A%E5%8F%8A%E7%94%9F%E6%B4%BB%E6%9C%8D%E5%8B%99/id1084662006?uo=4,
ace.port.nhub.video.downloader.x,,,,,,,,,,,
ai.convegenius.app,SwiftChat by ConveGenius,"While technology and apps have made our lives complicated, SwiftChat is here to help you do everything you love pretty easily. 😉

You can learn a new language, get live news and sports updates, improve your GK, challenge your knowledge of movies and sports, practice maths, and find a library full of videos... there are plenty more chatbots on this platform, but that's all we could say in one breath. 🤭

With SwiftChat, sab kuch bahut easy hai. Download the app and enjoy new bots every month. 🤓",['Education'],Convegenius AI,0,Education,4.7.0,4.15,4956160,https://play.google.com/store/apps/details?id=ai.convegenius.app&hl=en&gl=us,
ai.growth.zipped,NewsCvg: World News Coverage,"Introducing News Coverage, the revolutionary AI-powered news app that transforms the way you consume information. Our cutting-edge AI technology gathers, analyzes, and summarizes news from thousands of trusted sources across 15+ countries, delivering personalized, digestible content right to your fingertips.

With News Coverage, you'll experience:

Effortless Understanding with AI Summaries
• Our sophisticated AI technology analyzes duplicated and lengthy articles and merges them into concise, easy-to-understand summaries. Grasp the essential points of any story in seconds, making your news consumption efficient and enjoyable.

Immersive Multi-Format Experience:
• Dive into a world of captivating news delivery with our diverse array of formats: Full Coverage, Visual Storytelling, Video Reports, Quick Facts, Historical Events, Insightful Analysis, Eye-catching Infographics, ..

Real-Time Translation for Global Accessibility
• Break through language barriers with our real-time translation feature. News Coverage instantly translates articles from 15+ languages, ensuring you can explore perspectives from around the world in your preferred language.

News Radar: Your Personal AI News Alert System
• Never miss a story that matters to you with our innovative News Radar feature. Simply enter keywords for topics you care about, and News Radar will notify you whenever a relevant article is published. Let our AI work tirelessly to keep you informed on your favorite subjects.

Local News at Your Fingertips
• Stay connected to your community with our dedicated local news feature. From weather alerts to hometown events, News Coverage keeps you in the loop with the stories that matter most to you.

Personalized News Feed Tailored to You
• Our AI algorithms learn your interests and preferences, curating a personalized news feed that evolves with you. From sports and technology to business and health, News Coverage delivers the stories you care about most.

Weekly Recaps and Trending Topics
• Stay on top of the week's most crucial stories with our AI-generated weekly recaps. Explore trending topics and discover the articles everyone is talking about.

Express Yourself Freely and Safely
• Engage with our thriving community through comments, likes, and shares. With features like ""Comment as Anonymous"" and ""Multiple Accounts,"" you can express your opinions freely and safely, fostering meaningful discussions and gaining new perspectives.

Download News Coverage now and experience the future of news consumption. With our AI-powered features, global coverage, and personalized approach, staying informed has never been easier. Join millions of users worldwide and let News Coverage be your guide in the ever-changing world of information.

For product updates, the latest from our blog, and tips on how to use News Coverage, follow us on social platforms:
• https://x.com/NewsCvg
• https://www.facebook.com/newscvg

We’d love to hear what you think! Reach out to our support team at: https://newscvg.endurra.co/contact-us",['News & Magazines'],ENDURRA TECHNOLOGY COMPANY LIMITED,0,News & Magazines,1.19.0,,18446,https://play.google.com/store/apps/details?id=ai.growth.zipped&hl=en&gl=us,https://newscvg.com
ai.mainfunc.genspark,Genspark,"Genspark Super Agent is an all-in-one super agent that automatically uses various tools to handle your everyday tasks. It features:

1.Fast: Near-instant results (comparable to regular search/chat)
2.Reliable: Significantly fewer errors and hallucinations during execution
3.Steerable: Puts you in control, allowing you to guide and refine outputs until they precisely match your requirements

Genspark Super Agent works better because of:

- The world's first Mixture-of-Agents system, utilizing the best models, tools, and data sets to serve different tasks
- Various reliable toolsets built in-house, carefully built and tested to ensure efficiency and robustness
- Various reliable datasets built in-house, pre-built and distilled from the web to ensure quality, freshness, and quantity

Genspark Super Agent can perform various tasks, such as:

· Planning travel to San Diego & making reservations for you
· Making restaurant reservations on your behalf
· Converting 5-hour YouTube videos into 10 comprehensive slides
· Conducting global music streaming research with visual data reports
· Creating minute-long South Park episodes about recent news
· Finding top fashion influencer contacts and sending emails
· Creating step-by-step Instagram reels for recipes
· Designing professional posters and marketing websites
· Coding interactive 3D visualizations of complex math formulas
· Analyzing earthquake data and generating detailed reports
· Selecting perfect gifts within a $100-$200 budget on Amazon",['Tools'],Genspark,0,Tools,1.24,4.230769,58781,https://play.google.com/store/apps/details?id=ai.mainfunc.genspark&hl=en&gl=us,https://www.genspark.ai/
ai.mira.videochat,Fun Random Video Chat - Mira,"Mira is an entertainment platform where artificial intelligence gives a new touch to human communication. Generate your avatar with AI, start video chatting incognito, and continue conversation with your partner without any mask if you wish so.

A unique fusion of common yet functional video chat and advanced artificial intelligence models, Mira was designed to take the communication experience of its users to the next level. It features an ultimate application for those who would like to enjoy making new acquaintances and chatting with people while exploring a wide array of image generation capabilities.

MIRA’S KEY FEATURES

▷ Create and сustomize
We believe that every person is exceptional and authentic. So are the characters that the Mira users can create using the state-of-the-art artificial intelligence capacities. Just describe in words what your desired avatar must look like, choose the style and the type of your character and the magic of AI will do the rest.

▷ Choose your interlocutor
There is a unique individual behind each and every AI character in Mira. Keep that in mind when choosing your chatting partner by avatar. Who’s hiding behind this anime girl or that cyberpunk guy? It’s up to you to find out. Anyway, this might well be the beginning of another amazing story with incredible experience.

▷ Keep in touch
Mira is happy to offer its users familiar yet sound and polished features for communication. Handy and secure live video chat coupled with text messenger and contact list. Сommunicate by video with AI character to reflect your mood, send and receive messages to connect with people miles away from you. Everything that you've got used to, multiplied by efficiency and flexibility.

▷ Chat incognito
Whether you wish to add more mystery to your person, or just don’t want to rush it. Stay anonymous for as long as you wish. Your AI-generated character will be there for you until you decide to take the next step.

▷ Masks off!
Ready to show yourself and chat without any avatar? You may take off your AI mask any time. If your partner does the same - you both will see each other unmasked. A perfect opportunity to feel better the vibe of your match.

▷ Get More of Mira!
Enjoy the company of the person you chat with and get to know each other better. Start as many chats as you wish, make acquaintances, learn more about people and yourself, improve your communication skills and have more fun with Mira!",['Communication'],Ramiba Publishing,0,Communication,1.7.4,4.524272,1650401,https://play.google.com/store/apps/details?id=ai.mira.videochat&hl=en&gl=us,https://mira.chat/
ai.mira.videochau1,,,,,,,,,,,
ai.mira.videochau2,,,,,,,,,,,
